"image_id","tortuosity_class"
"Parizeau_ID#PCOAR059_EYE-Right_aadez.JPG","0"
"Dalphond_ID#PCOAR-056_EYE-Right_aadej.JPG","0"
"Martelle_ID#PCOAR-057_EYE-Left_aadeq.JPG","1"
"Filiatrault_ID#PCOAR058_EYE-Left_aadet.JPG","2"
"Lemey_ID#PCOAR055_EYE-Right_aaded.JPG","0"
"Martelle_ID#PCOAR-057_EYE-Right_aaden.JPG","2"
"Roy_ID#NIRS-045_EYE-Left_aaczm.JPG","0"
"Marcoux_ID#PCOAR053_EYE-Right_aaddn.JPG","0"
"Lemey_ID#PCOAR055_EYE-Left_aadea.JPG","0"
"Tremblay_ID#NIRS-021_EYE-Left_aacqj.JPG","0"
"Gauvin_ID#PCOAR-60_EYE-Right_aadfi.JPG","1"
"Roy_ID#NIRS-045_EYE-Right_aaczo.JPG","0"
"Quirion_ID#NIRS-053_EYE-Left_aadce.JPG","0"
"Gauvin_ID#PCOAR-60_EYE-Left_aadfe.JPG","1"
"Paradis_ID#NIRS-026_EYE-Right_aacta.JPG","0"
"Filiatrault_ID#PCOAR058_EYE-Right_aadew.JPG","2"
"Mylette_ID#PCOAR054_EYE-Left_aaddy.JPG","0"
"Mylette_ID#PCOAR054_EYE-Left_aaddu.JPG","1"
"Parthenais_ID#NIRS-004_EYE-Left_aacld.JPG","1"
"Quirion_ID#NIRS-053_EYE-Right_aadcc.JPG","0"
"Plante_ID#NIRS-010_EYE-Right_aadfm.JPG","1"
"Plante_ID#NIRS-010_EYE-Left_aadfn.JPG","0"
"Paradis_ID#NIRS-026_EYE-Left_aacsx.JPG","1"
"Parizeau_ID#PCOAR059_EYE-Left_aadfc.JPG","1"
"Renaud_ID#NIRS-003_EYE-Right_aacla.JPG","0"
"Sauve_ID#NIRS-002 _EYE-Left_aackq.JPG","1"
"Mylette_ID#PCOAR054_EYE-Right_aaddw.JPG","0"
"Seguin_ID#NIRS-005_EYE-Right_aaclj.JPG","1"
"Paré_ID#NIRS-008_EYE-Left_aacmi.JPG","0"
"Turmal_ID#NIRS-042_EYE-Right_aadfp.JPG","0"
"Renaud_ID#NIRS-003_EYE-Left_aackv.JPG","1"
"Seguin_ID#NIRS-005_EYE-Left_aaclm.JPG","1"
"Paquette_ID#NIRS-044_EYE-Left_aaczk.JPG","0"
"Paquette_ID#NIRS-044_EYE-Right_aaczg.JPG","1"
"RIoux_ID#NIRS-015_EYE-Left_aacol.JPG","1"
"Tremblay_ID#NIRS-032_EYE-Left_aacuv.JPG","0"
"Sevigny_ID#NIRS-017_EYE-Left_aacpk.JPG","0"
"Turmal_ID#NIRS-042_EYE-Left_aacys.JPG","0"
"Sauve_ID#NIRS-002 _EYE-Right_aackt.JPG","1"
"RIvard_ID#NIRS-013_EYE-Left_aacny.JPG","1"
"Paré_ID#NIRS-008_EYE-Right_aacml.JPG","1"
"Paré_ID#NIRS-008_EYE-Right_aacmj.JPG","1"
"72d15328-47e7-8ed3-4cbe-be7154c64f88.jpg","0"
"d3c6ac1d-8d2a-6bc0-f3db-175cec3e28ab.jpg","0"
"96031117-7f42-4bcc-d4c4-31219d5051e4.jpg","0"
"7984d962-b16a-70e5-f55d-10ca768768c4.jpg","0"
"66776fc3-6d5b-aac7-c0dc-71205801e314.jpg","1"
"279ddf4c-5f6a-e7df-d0a2-1d901c6a63e6.jpg","0"
"9672264f-c894-51e7-b552-dacc2397a2a9.jpg","0"
"edd3b0b8-8ae5-6cf0-f389-0c4657efc0fc.jpg","0"
"e69334f5-7939-8ba1-e419-e4447f832d51.jpg","1"
"67b0634c-37c1-7dd8-d513-a8c950729d5b.jpg","0"
"6f2af55b-6e3e-2335-f0c8-d16c12ec9560.jpg","0"
"7f76d7c3-b125-16e9-ca6a-1d896d5af753.jpg","0"
"ea6966e9-bbe5-497a-c9c4-a21f54fa4b54.jpg","0"
"b9d6b0ee-7f9d-61cf-4190-e4d31be55518.jpg","0"
"f07adfbe-8c44-db78-001a-abb01db08ad3.jpg","0"
"a7545c75-ba97-1e30-c807-14f9c0e6cd5b.jpg","0"
"cade081b-e659-893e-571a-2e2ef9bde196.jpg","0"
"f321f21b-9386-811b-5ac3-20d172d4fa0f.jpg","0"
"18215533-38cf-fee1-e2c8-4b5f2b4f3e9c.jpg","0"
"2aea5bd8-d253-491c-115f-4b0007c202a6.jpg","0"
"afefaff6-3336-4d1b-b4ad-4ce1c19f2e89.jpg","1"
"f6054b25-2d43-ff2f-5718-130d46246f12.jpg","1"
"f8bb3b77-9e95-4ec7-0430-5856b9e9e729.jpg","0"
"6d9194eb-b108-9f7c-1075-e191838f671d.jpg","0"
"afd18587-a7c2-6997-7d05-162e31e98763.jpg","0"
"dd946bb4-3c4a-2ded-b478-31dea142a1b7.jpg","0"
"8a0744b4-1fc9-975e-23f7-05fa47a5d749.jpg","1"
"a01fd8ad-144c-0911-e6cd-d42132a6b1a1.jpg","1"
"48ce5fc2-fe2e-2c64-7296-ffaf4953818e.jpg","0"
"32ce5e53-912e-080e-148b-fbbe27c1aa7d.jpg","0"
"ed3ee062-e080-109c-066a-f43f67bce347.jpg","1"
"9806d668-9272-b7a0-48ef-69a38a5de2f3.jpg","0"
"19cb1eb1-60b0-8bc2-edd0-02ae9e02ecc9.jpg","1"
"693cb2e4-b6b9-05c9-e7e6-a09a1eab11ae.jpg","0"
"acbed84a-d1e8-e0bf-01d1-d3e591bca359.jpg","0"
"3eed60f4-85c8-98a9-f3b5-fa989be4647a.jpg","0"
"b304c8ca-b8f0-9869-49d3-fe2edede1c4a.jpg","0"
"e5b469ac-68cb-624f-dca3-3559ac37fc0a.jpg","0"
"14de6b02-e825-04df-8ea9-ca099a4d3d9c.jpg","1"
"7b576142-e88a-b49a-a271-ab9f20cb008e.jpg","0"
"10d4dd7b-3955-4e59-daed-06708c41e2b4.jpg","0"
"d62756d7-92e7-5d47-d4bd-5d97351e3c82.jpg","0"
"6f33c033-41f4-5eba-20f1-9131a310b53b.jpg","0"
